scan,scenario,label,buses,R_per_min,reserve_frac,mode,feasible,max_deficit_MW,energy_deficit_MWh,max_overload_MW,final_deficit_MW,saet_min,solve_s
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0035,1.0,DP,True,0.0,0.0,118.34,0.0,92.4;121.8;130.0,129.1
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.005,1.0,DP,True,0.0,0.0,66.62,0.0,92.4;121.8;130.0,101.7
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0075,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0,99.6
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0,60.4
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.015,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0,59.8
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.02,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0,25.1
DP_over_R,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.04,1.0,DP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0,14.4
reserve_frac,S1_single_bus89,Single bus89,89,0.01,1.0,PA,True,314.95,35.93,151.28,0.0,92.4,17.2
reserve_frac,S1_single_bus89,Single bus89,89,0.01,1.0,SP,True,0.0,0.0,0.0,0.0,92.4,3.1
reserve_frac,S1_single_bus89,Single bus89,89,0.01,0.5,PA,True,314.95,38.26,151.28,0.0,92.4,12.1
reserve_frac,S1_single_bus89,Single bus89,89,0.01,0.5,SP,True,0.0,0.0,53.44,0.0,92.4,24.3
reserve_frac,S1_single_bus89,Single bus89,89,0.01,0.35,PA,True,314.95,36.75,151.28,0.0,92.4,11.1
reserve_frac,S1_single_bus89,Single bus89,89,0.01,0.35,SP,True,0.0,0.0,76.61,0.0,92.4,14.8
reserve_frac,S1_single_bus89,Single bus89,89,0.01,0.25,PA,True,318.39,44.12,153.22,0.0,92.4,2.0
reserve_frac,S1_single_bus89,Single bus89,89,0.01,0.25,SP,True,0.0,0.0,56.74,0.0,92.4,2.6
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,1.0,PA,True,334.88,59.61,165.75,0.0,92.4;121.8;130.0;151.5;151.9;192.9,20.0
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,1.0,SP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0;151.5;151.9;192.9,52.3
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,0.5,PA,True,334.88,153.12,255.69,43.96,92.4;121.8;130.0;151.5;151.9;192.9,2.4
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,0.5,SP,True,43.96,96.61,244.09,43.96,92.4;121.8;130.0;151.5;151.9;192.9,2.0
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,0.35,PA,True,749.52,1761.39,534.95,749.52,92.4;121.8;130.0;151.5;151.9;192.9,2.1
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,0.35,SP,True,749.52,2286.0,534.95,749.52,92.4;121.8;130.0;151.5;151.9;192.9,1.7
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,0.25,PA,True,1248.4,3132.59,738.82,1248.4,92.4;121.8;130.0;151.5;151.9;192.9,2.0
reserve_frac,S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,0.25,SP,True,1248.4,4139.04,738.82,1248.4,92.4;121.8;130.0;151.5;151.9;192.9,1.7
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,1.0,PA,True,343.27,71.93,163.4,0.0,92.4;121.8;130.0,33.2
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,1.0,SP,True,0.0,0.0,36.76,0.0,92.4;121.8;130.0,105.4
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,0.5,PA,True,343.27,75.53,163.4,0.0,92.4;121.8;130.0,5.6
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,0.5,SP,True,0.0,0.0,130.51,0.0,92.4;121.8;130.0,18.0
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,0.35,PA,True,343.27,221.13,163.4,50.54,92.4;121.8;130.0,1.9
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,0.35,SP,True,50.54,156.33,161.7,50.54,92.4;121.8;130.0,2.0
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,0.25,PA,True,389.29,1078.95,246.75,345.05,92.4;121.8;130.0,1.8
reserve_frac,S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,0.25,SP,True,345.05,1190.57,246.72,345.05,92.4;121.8;130.0,1.7
