scenario,label,buses,R_per_min,mode,feasible,max_deficit_MW,energy_deficit_MWh,max_overload_MW,final_deficit_MW,horizon_truncated,lost_MW,saet_min,solve_s
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,PA,True,334.88,59.61,165.75,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,23.3
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.01,SP,True,0.0,0.0,36.76,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,62.3
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.015,PA,True,241.47,26.59,140.83,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,24.0
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.015,SP,True,0.0,0.0,36.76,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,59.0
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.02,PA,True,148.07,12.34,116.72,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,24.8
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.02,SP,True,0.0,0.0,36.76,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,32.8
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.04,PA,True,0.0,0.0,69.39,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,13.3
S2_CO_6unit,CO 6-unit (all coupled),89;80;10;66;65;26,0.04,SP,True,0.0,0.0,36.76,0.0,False,2631.0,92.4;121.8;130.0;151.5;151.9;192.9,21.9
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0025,PA,True,697.62,632.05,359.26,0.0,False,1534.0,92.4;121.8;130.0,38.9
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0025,SP,True,104.31,122.58,151.73,0.0,False,1534.0,92.4;121.8;130.0,132.4
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.003,PA,True,620.33,517.11,338.52,0.0,False,1534.0,92.4;121.8;130.0,42.0
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.003,SP,True,50.34,27.76,144.0,0.0,False,1534.0,92.4;121.8;130.0,124.7
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0035,PA,True,539.71,418.58,317.79,0.0,False,1534.0,92.4;121.8;130.0,46.6
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0035,SP,True,15.98,3.62,142.55,0.0,False,1534.0,92.4;121.8;130.0,127.0
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.005,PA,True,410.19,232.82,256.33,0.0,False,1534.0,92.4;121.8;130.0,52.5
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.005,SP,True,0.0,0.0,123.46,0.0,False,1534.0,92.4;121.8;130.0,98.9
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0075,PA,True,372.23,117.9,165.98,0.0,False,1534.0,92.4;121.8;130.0,44.6
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.0075,SP,True,0.0,0.0,61.05,0.0,False,1534.0,92.4;121.8;130.0,80.3
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,PA,True,343.27,71.93,163.4,0.0,False,1534.0,92.4;121.8;130.0,33.2
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.01,SP,True,0.0,0.0,36.76,0.0,False,1534.0,92.4;121.8;130.0,108.4
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.015,PA,True,250.18,28.09,140.66,0.0,False,1534.0,92.4;121.8;130.0,17.1
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.015,SP,True,0.0,0.0,36.76,0.0,False,1534.0,92.4;121.8;130.0,47.3
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.02,PA,True,155.13,12.93,116.42,0.0,False,1534.0,92.4;121.8;130.0,18.9
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.02,SP,True,0.0,0.0,36.76,0.0,False,1534.0,92.4;121.8;130.0,38.8
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.04,PA,True,0.0,0.0,69.37,0.0,False,1534.0,92.4;121.8;130.0,14.4
S3_nk_worst_k3,N-k worst k=3,89;80;10,0.04,SP,True,0.0,0.0,36.76,0.0,False,1534.0,92.4;121.8;130.0,28.9
