bus_id,type,Pd,Qd,Vm,Va,baseKV
76,2,68.0,36.0,0.943,21.77,138.0
77,2,61.0,28.0,1.006,26.72,138.0
78,1,71.0,26.0,1.003,26.42,138.0
79,1,39.0,32.0,1.009,26.72,138.0
80,2,130.0,26.0,1.04,28.96,138.0
81,1,0.0,0.0,0.997,28.1,345.0
82,1,54.0,27.0,0.989,27.24,138.0
83,1,20.0,10.0,0.985,28.42,138.0
84,1,11.0,7.0,0.98,30.95,138.0
85,2,24.0,15.0,0.985,32.51,138.0
86,1,21.0,10.0,0.987,31.14,138.0
87,2,0.0,0.0,1.015,31.4,161.0
88,1,48.0,10.0,0.987,35.64,138.0
89,2,0.0,0.0,1.005,39.69,138.0
90,2,163.0,42.0,0.985,33.29,138.0
91,2,10.0,0.0,0.98,33.31,138.0
92,2,65.0,10.0,0.993,33.8,138.0
93,1,12.0,7.0,0.987,30.79,138.0
94,1,30.0,16.0,0.991,28.64,138.0
95,1,42.0,31.0,0.981,27.67,138.0
96,1,38.0,15.0,0.993,27.51,138.0
97,1,15.0,9.0,1.011,27.88,138.0
98,1,34.0,8.0,1.024,27.4,138.0
99,2,42.0,0.0,1.01,27.04,138.0
100,2,37.0,18.0,1.017,28.03,138.0
101,1,22.0,15.0,0.993,29.61,138.0
102,1,5.0,3.0,0.991,32.3,138.0
103,2,23.0,16.0,1.001,24.44,138.0
104,2,38.0,25.0,0.971,21.69,138.0
105,2,31.0,26.0,0.965,20.57,138.0
106,1,43.0,16.0,0.962,20.32,138.0
107,2,50.0,12.0,0.952,17.53,138.0
108,1,2.0,1.0,0.967,19.38,138.0
109,1,8.0,3.0,0.967,18.93,138.0
110,2,39.0,30.0,0.973,18.09,138.0
111,2,0.0,0.0,0.98,19.74,138.0
112,2,68.0,13.0,0.975,14.99,138.0
113,2,6.0,0.0,0.993,13.74,138.0
114,1,8.0,3.0,0.96,14.46,138.0
115,1,22.0,7.0,0.96,14.46,138.0
116,2,184.0,0.0,1.005,27.12,138.0
117,1,20.0,8.0,0.974,10.67,138.0
118,1,33.0,15.0,0.949,21.92,138.0
